date,bassin,bassin_id,barrage,taux_remplissage,taux_annee_precedente,volume_millions_m3
2026-08-11,أبي رقراق,MH5,سيدي محمد بن عبد الله,77.0,75.0,672.0
2026-08-11,أبي رقراق,MH5,تيداس,90.0,,457.0
2026-08-11,زيز كير غريس,MH4,حسن الداخل,56.0,65.0,162.0
2026-08-11,زيز كير غريس,MH4,قدوسة,28.0,35.0,63.0
2026-08-11,تانسيفت,MH7,مولاي عبد الرحمان,85.0,59.0,50.0
2026-08-11,تانسيفت,MH7,يعقوب المنصور,85.0,40.0,49.0
2026-08-11,سبو,MH3,الوحدة,86.0,51.0,2980.0
2026-08-11,سبو,MH3,إدريس الأول,78.0,39.0,842.0
2026-08-11,سبو,MH3,أسفالو,59.0,36.0,174.0
2026-08-11,ملوية,MH1,الحسن الثاني,58.0,17.0,206.0
2026-08-11,ملوية,MH1,محمد الخامس,14.0,12.0,23.0
2026-08-11,سوس ماسة,MH8,يوسف بن تاشفين,47.0,13.0,139.0
2026-08-11,سوس ماسة,MH8,عبد المومن,34.0,5.0,67.0
2026-08-11,سوس ماسة,MH8,مولاي عبد الله,89.0,48.0,73.0
2026-08-11,اللوكوس,MH2,وادي المخازن,76.0,82.0,529.0
2026-08-11,اللوكوس,MH2,الشريف الإدريسي,91.0,82.0,122.0
2026-08-11,اللوكوس,MH2,دار خروفة,93.0,17.0,443.0
2026-08-11,درعة واد نون,MH9,منصور الذهبي,38.0,40.0,173.0
2026-08-11,درعة واد نون,MH9,السلطان مولاي علي الشريف,19.0,16.0,53.0
2026-08-11,أم الربيع,MH6,بين الويدان,84.0,14.0,1092.0
2026-08-11,أم الربيع,MH6,المسيرة,40.0,3.0,1080.0
2026-08-11,أم الربيع,MH6,أحمد الحنصالي,80.0,13.0,562.0
