date,barrage,bassin_id,latitude,longitude,temperature_moyenne,precipitation_mm,et0_mm
2026-08-13,الحسن الثاني,MH1,34.2066921,-2.6394695,31.8,0.0,6.53
2026-08-13,محمد الخامس,MH1,34.6632367,-2.9380618,30.5,0.0,6.62
2026-08-13,وادي المخازن,MH2,34.9415341,-5.8399068,30.6,0.0,6.45
2026-08-13,أسفالو,MH3,34.6331446,-4.1901819,29.9,0.5,6.16
2026-08-13,الوحدة,MH3,34.5979104,-5.200165,32.9,0.0,6.68
2026-08-13,حسن الداخل,MH4,31.9928701,-4.4622575,30.5,0.1,7.73
2026-08-13,قدوسة,MH4,32.1662699,-3.7859677,29.3,0.1,6.6
2026-08-13,تيداس,MH5,33.5817309,-6.3177582,32.6,0.0,7.51
2026-08-13,أحمد الحنصالي,MH6,32.6937476,-5.8893836,33.5,0.0,8.24
2026-08-13,المسيرة,MH6,32.4810226,-7.6353046,32.7,0.0,8.41
2026-08-13,بين الويدان,MH6,32.1090006,-6.5095468,34.5,0.0,8.68
2026-08-13,عبد المومن,MH8,30.6754168,-9.1986955,34.9,0.0,8.34
2026-08-13,مولاي عبد الله,MH8,30.7614802,-9.6866751,30.7,0.0,6.08
2026-08-13,يوسف بن تاشفين,MH8,29.845388,-9.4954938,28.4,0.0,5.93
2026-08-13,منصور الذهبي,MH9,30.912477,-6.7599445,30.2,0.0,6.69
