barrage,bassin_id,bassin,latitude,longitude,coord_query,coord_display_name,coord_status
الحسن الثاني,MH1,ملوية,34.2066921,-2.6394695,سد الحسن الثاني,"Barrage Hassan II سد الحسن الثاني, Ahl Oued Za أهل وادزا, Caïdat d'Ahl Taourirt قيادة أهل تاوريرت, Cercle de Taourirt دائرة تاوريرت, Province de Taourirt إقليم تاوريرت, Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
محمد الخامس,MH1,ملوية,34.6632367,-2.9380618,سد محمد الخامس,"Barrage Mohamed V سد محمد الخامس, Hassi Berkane حاسي بركان, Caïdat de Hassi Berkane, Cercle de Louta دائرة الوطا, Province de Nador إقليم الناظور, Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
الشريف الإدريسي,MH2,اللوكوس,,,,,not_found
دار خروفة,MH2,اللوكوس,,,,,not_found
وادي المخازن,MH2,اللوكوس,34.9415341,-5.8399068,وادي المخازن,"Oued El Makhazine وادي المخازن, Oued El Makhazine واد المخازن, Caïdat de Arbaoua, Cercle Souk Arbaa El Gharb, Province de Kenitra إقليم القنيطرة, Rabat-Salé-Kénitra ⵔⴱⴰⵟ-ⵙⵍⴰ-ⵇⵏⵉⵟⵔⴰ الرباط-سلا-القنيطرة, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
أسفالو,MH3,سبو,34.6331446,-4.1901819,Asfalou Dam,"Barrage Asfalou, Tamedit تمضيت, Caïdat de Mernissa, Cercle de Taounate دائرة تاونات, Province de Taounate إقليم تاونات, Fès-Meknès ⴼⴰⵙ-ⵎⴽⵏⴰⵙ فاس-مكناس, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
إدريس الأول,MH3,سبو,,,,,not_found
الوحدة,MH3,سبو,34.5979104,-5.200165,Al Wahda Dam,"Barrage Al Wahda, El Jorf Lamjaara, Lamjaara لمرابيح, Caïdat de Lamjaara, Cercle d'Al Ouahda, Province de Ouezzane إقليم وزان, Tanger-Tétouan-Al Hoceïma ⵟⴰⵏⵊ-ⵟⵉⵜⴰⵡⵉⵏ-ⵍⵃⵓⵙⵉⵎⴰ طنجة تطوان الحسيمة, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
حسن الداخل,MH4,زيز كير غريس,31.9928701,-4.4622575,Hassan Addakhil Dam,"Barrage Al Hassan Addakhil, Lkheng الخنك, Caïdat de M'daghra Lkeng قيادة مدغرة الخنك, Cercle d'Errachidia دائرة الرشيدية, Province d'Errachidia إقليم الرشيدية, Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
قدوسة,MH4,زيز كير غريس,32.1662699,-3.7859677,Kaddoussa Dam,"Barrage de Kaddoussa, Ksar Kaddoussa, Oued Naam وادي النعام, caïdat d'Oued Naam قيادة وادي النعام, Cercle d'Errachidia دائرة الرشيدية, Province d'Errachidia إقليم الرشيدية, Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",osm_dam
